           6          15         101        3876  ! atom pairs, coefficients, terms
  TERM GROUP :     EXPONENTS
     1     1 :     0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     2     2 :     0    0    0    0    0    0    0    0    0    0    0    0    0    0    1
     3     3 :     0    0    0    0    0    0    0    0    0    0    0    0    0    0    2
     4     4 :     0    0    0    0    0    0    0    0    0    0    0    0    0    0    3
     5     5 :     0    0    0    0    0    0    0    0    0    0    0    0    0    0    4
     6     2 :     0    0    0    0    0    0    0    0    0    0    0    0    0    1    0
     7     6 :     0    0    0    0    0    0    0    0    0    0    0    0    0    1    1
     8     7 :     0    0    0    0    0    0    0    0    0    0    0    0    0    1    2
     9     8 :     0    0    0    0    0    0    0    0    0    0    0    0    0    1    3
    10     3 :     0    0    0    0    0    0    0    0    0    0    0    0    0    2    0
    11     7 :     0    0    0    0    0    0    0    0    0    0    0    0    0    2    1
    12     9 :     0    0    0    0    0    0    0    0    0    0    0    0    0    2    2
    13     4 :     0    0    0    0    0    0    0    0    0    0    0    0    0    3    0
    14     8 :     0    0    0    0    0    0    0    0    0    0    0    0    0    3    1
    15     5 :     0    0    0    0    0    0    0    0    0    0    0    0    0    4    0
    16     2 :     0    0    0    0    0    0    0    0    0    0    0    0    1    0    0
    17     6 :     0    0    0    0    0    0    0    0    0    0    0    0    1    0    1
    18     7 :     0    0    0    0    0    0    0    0    0    0    0    0    1    0    2
    19     8 :     0    0    0    0    0    0    0    0    0    0    0    0    1    0    3
    20     6 :     0    0    0    0    0    0    0    0    0    0    0    0    1    1    0
    21    10 :     0    0    0    0    0    0    0    0    0    0    0    0    1    1    1
    22    11 :     0    0    0    0    0    0    0    0    0    0    0    0    1    1    2
    23     7 :     0    0    0    0    0    0    0    0    0    0    0    0    1    2    0
    24    11 :     0    0    0    0    0    0    0    0    0    0    0    0    1    2    1
    25     8 :     0    0    0    0    0    0    0    0    0    0    0    0    1    3    0
    26     3 :     0    0    0    0    0    0    0    0    0    0    0    0    2    0    0
    27     7 :     0    0    0    0    0    0    0    0    0    0    0    0    2    0    1
    28     9 :     0    0    0    0    0    0    0    0    0    0    0    0    2    0    2
    29     7 :     0    0    0    0    0    0    0    0    0    0    0    0    2    1    0
    30    11 :     0    0    0    0    0    0    0    0    0    0    0    0    2    1    1
    31     9 :     0    0    0    0    0    0    0    0    0    0    0    0    2    2    0
    32     4 :     0    0    0    0    0    0    0    0    0    0    0    0    3    0    0
    33     8 :     0    0    0    0    0    0    0    0    0    0    0    0    3    0    1
    34     8 :     0    0    0    0    0    0    0    0    0    0    0    0    3    1    0
    35     5 :     0    0    0    0    0    0    0    0    0    0    0    0    4    0    0
    36     2 :     0    0    0    0    0    0    0    0    0    0    0    1    0    0    0
    37     6 :     0    0    0    0    0    0    0    0    0    0    0    1    0    0    1
    38     7 :     0    0    0    0    0    0    0    0    0    0    0    1    0    0    2
    39     8 :     0    0    0    0    0    0    0    0    0    0    0    1    0    0    3
    40     6 :     0    0    0    0    0    0    0    0    0    0    0    1    0    1    0
    41    12 :     0    0    0    0    0    0    0    0    0    0    0    1    0    1    1
    42    13 :     0    0    0    0    0    0    0    0    0    0    0    1    0    1    2
    43     7 :     0    0    0    0    0    0    0    0    0    0    0    1    0    2    0
    44    13 :     0    0    0    0    0    0    0    0    0    0    0    1    0    2    1
    45     8 :     0    0    0    0    0    0    0    0    0    0    0    1    0    3    0
    46    14 :     0    0    0    0    0    0    0    0    0    0    0    1    1    0    0
    47    15 :     0    0    0    0    0    0    0    0    0    0    0    1    1    0    1
    48    16 :     0    0    0    0    0    0    0    0    0    0    0    1    1    0    2
    49    15 :     0    0    0    0    0    0    0    0    0    0    0    1    1    1    0
    50    17 :     0    0    0    0    0    0    0    0    0    0    0    1    1    1    1
    51    16 :     0    0    0    0    0    0    0    0    0    0    0    1    1    2    0
    52    18 :     0    0    0    0    0    0    0    0    0    0    0    1    2    0    0
    53    19 :     0    0    0    0    0    0    0    0    0    0    0    1    2    0    1
    54    19 :     0    0    0    0    0    0    0    0    0    0    0    1    2    1    0
    55    20 :     0    0    0    0    0    0    0    0    0    0    0    1    3    0    0
    56     3 :     0    0    0    0    0    0    0    0    0    0    0    2    0    0    0
    57     7 :     0    0    0    0    0    0    0    0    0    0    0    2    0    0    1
    58     9 :     0    0    0    0    0    0    0    0    0    0    0    2    0    0    2
    59     7 :     0    0    0    0    0    0    0    0    0    0    0    2    0    1    0
    60    13 :     0    0    0    0    0    0    0    0    0    0    0    2    0    1    1
    61     9 :     0    0    0    0    0    0    0    0    0    0    0    2    0    2    0
    62    18 :     0    0    0    0    0    0    0    0    0    0    0    2    1    0    0
    63    19 :     0    0    0    0    0    0    0    0    0    0    0    2    1    0    1
    64    19 :     0    0    0    0    0    0    0    0    0    0    0    2    1    1    0
